"COMMENT","ID","EN","DE","NL","FR","GR","IT","PT","RU","ES"
,,"Wouldn't it be fun to play again?","Würde nicht es der Spaß sein, zum wieder zu spielen?","Het zou geen pret zijn opnieuw te spelen?","Ne serait-ce pas amusement à jouer encore ?","Δεν θα ήταν διασκέδαση που παίζει πάλι;","Non sarebbe divertimento da giocare ancora?","Não seria divertimento a jogar outra vez?","Не было бы потехой, котор нужно играть снова?","¿No sería diversión a jugar otra vez?"
,,"TopTip: The ESC key can be used to bring up a menu that will let you quickly restart the current level.","TopTip: Der ESC Schlüssel kann verwendet werden, um ein Menü oben zu holen, das Sie schnell das gegenwärtige Niveau wiederbeginnen läßt.","TopTip: De sleutel van ESC kan worden gebruikt om een menu omhoog te brengen dat u snel het huidige niveau zal laten opnieuw beginnen.","TopTip : La touche ESC Peut être employée pour évoquer un menu qui vous laissera rapidement remettre en marche le niveau courant.","TopTip: Το κλειδί ΟΚΕ μπορεί να χρησιμοποιηθεί για να φέρει επάνω επιλογές που θα σας αφήσουν να ξαναξεκινήσετε γρήγορα το τρέχον επίπεδο.","TopTip: La chiave di ESC può essere usata per portare in su un menu che li lascerà rapidamente ricominciare il livello corrente.","TopTip: A chave de ESC pode ser usada trazer acima um menu que o deixe rapidamente reiniciar o nível atual.","TopTip: Ключа esc можно использовать для того чтобы принести вверх меню будет препятствовать вам быстро повторить старт в настоящее время уровня.","TopTip: La tecla de salida Se puede utilizar para traer para arriba un menú que le deje rápidamente recomenzar el nivel actual."
,,"But still no deadends so not that hard.","Aber noch keine Deadends so nicht daß stark.","Maar nog geen impasse zo niet dat hard.","Mais toujours aucuns culs-de-sac ainsi pas que dur.","Αλλά ακόμα κανένα αδιέξοδο τόσο όχι αυτό σκληρά.","Ma ancora nessun deadends così non che duro.","Mas ainda nenhuns deadends assim não que duramente.","Но все еще отсутствие deadends так не что крепко.","Pero aún ningunos puntos muertos tan no que difícilmente."
"Autodump of new strings",,,,,,,,,,
,,"Real easy, huh?","Reales einfaches, huh?","Echte gemakkelijk, huh?","Vrai facile, huh ?","Πραγματικός εύκολος, huh;","Facile reale, huh?","Fácil real, huh?","Реальная легкая, huh?","¿Fácil verdadero, huh?"
,,"Wander the maze and steal all the fire, easy peasy.","Wander das Labyrinth und stehlen das ganzes Feuer, einfaches peasy.","Wandel het labyrint en steel al brand, gemakkelijke peasy.","Errent le labyrinthe et volent tout le feu, peasy facile.","Περιπλανηθείτε ο λαβύρινθος και κλέψτε όλη την πυρκαγιά, εύκολος peasy.","Vaga il labirinto e ruba tutto il fuoco, peasy facile.","Vagueia o maze e rouba todo o fogo, peasy fácil.","Бродяжничает maze и крадет полностью пожар, легкое peasy.","Vaga el laberinto y roba todo el fuego, peasy fácil."
,,"Although you could try for a faster time.","Obgleich Sie für ein schnelleres versuchen konnten, setzen Sie Zeit fest.","Hoewel u voor een snellere tijd kon proberen.","Bien que vous pourriez essayer pour un plus rapide chronométrez.","Αν και θα μπορούσατε να προσπαθήσετε για έναν γρηγορότερο χρόνο.","Anche se potreste provare per un più veloce cronometri.","Embora você poderia tentar para um mais rápido cronometre.","Хотя вы смогли попытаться для быстрой приурочьте.","Aunque usted podría intentar para un más rápido mida el tiempo."
"Autodump of new strings",,,,,,,,,,
,,"Still easy?","Noch einfach?","Nog gemakkelijk?","Encore facile ?","Ακόμα εύκολος;","Ancora facile?","Ainda fácil?","Все еще легко?","¿Todavía fácil?"
,,"Try playing it again with your eyes shut.","Versuch, der wieder ihn mit Ihren Augen geschlossen spielt.","Probeer speel het opnieuw met uw gesloten ogen.","L'essai le jouant encore avec vos yeux a fermé.","Προσπαθήστε το πάλι με τα μάτια σας κλεισμένα.","Prova che lo gioca ancora con i vostri occhi chiusi.","Tentativa que joga o outra vez com seus olhos fechados.","Попытка играя ее снова с вашими глазами закрывала.","Intento que lo juega otra vez con sus ojos cerrados."
,,"This time be carefull not to let the pesky guardians trap you in a corner.","Dieses Mal ist carefull nicht ließ die nervtötenden Wächter Sie in einer Ecke einschließen.","Dit keer moet carefull de pesky beschermersval niet laten u in een hoek.","Ce temps soit carefull pas a laissé les gardiens embêtants vous emprisonner dans un coin.","Αυτή η περίοδος πρόκειται carefull να μην αφήσει την ενοχλητική παγίδα φυλάκων εσείς σε μια γωνία.","Questa volta è carefull non ha lasciato i guardiani pesky intrappolarla in un angolo.","Esta vez seja carefull não deixou os guardians pesky prendê-lo em um canto.","Этим временем было carefull не препятствовало pesky радетелям поглотить вас в угле.","Esta vez sea carefull no dejó a guardas pesky atraparle en una esquina."
"Autodump of new strings",,,,,,,,,,
,,"Some simple playthings, push them down the hill.","Einige einfache Spielzeuge, drücken sie hinunter den Hügel.","Sommige eenvoudige playthings, duwen hen onderaan de heuvel.","Quelques jouets simples, les poussent en bas de la colline.","Μερικά απλά playthings, τους ωθούν κάτω από το λόφο.","Alcuni playthings semplici, le spingono giù la collina.","Alguns playthings simples, empurram-nos abaixo o monte.","Некоторые просто playthings, нажимают их вниз с холма.","Algunos playthings simples, las empujan abajo de la colina."
"Autodump of new strings",,,,,,,,,,
,,"Quad Idle","Viererkabel-Leerlauf","Nutteloos quad","Ralenti De Quadruple","Τετράγωνο μη απασχόλησης","Idle Del Quad","Idle Do Quad","Idle Квада","Marcha lenta Del Cuadrángulo"
"Autodump of new strings",,,,,,,,,,
,,"Quad Walk","Viererkabel-Weg","Quad Gang","Promenade De Quadruple","Περίπατος τετραγώνων","Camminata Del Quad","Caminhada Do Quad","Прогулка Квада","Caminata Del Cuadrángulo"
"Autodump of new strings",,,,,,,,,,
,,"Quad Run","Viererkabel-Durchlauf","Quad Looppas","Course De Quadruple","Τρέξιμο τετραγώνων","Funzionamento Del Quad","Funcionamento Do Quad","Бег Квада","Funcionamiento Del Cuadrángulo"
"Autodump of new strings",,,,,,,,,,
,,"1024x768","1024x768","1024x768","1024x768","1024x768","1024x768","1024x768","1024x768","1024x768"
,,"800x600","800x600","800x600","800x600","800x600","800x600","800x600","800x600","800x600"
"Autodump of new strings",,,,,,,,,,
,,"Fullscreen","Fullscreen","Fullscreen","Fullscreen","Fullscreen","Fullscreen","Fullscreen","Fullscreen","Fullscreen"
,,"Window normal","Fenster Normal","Normaal venster","Normale de fenêtre","Παράθυρο κανονικό","Normale della finestra","Normal da janela","Нормальный окна","Ventana normal"
,,"Window maximised","Fenster maximiert","Gemaximaliseerd venster","La fenêtre a maximisé","Παράθυρο που μεγιστοποιείται","Finestra elevata","Janela maximised","Окно увеличило","Ventana maximizada"
"Autodump of new strings",,,,,,,,,,
,,"1600x1200","1600x1200","1600x1200","1600x1200","1600x1200","1600x1200","1600x1200","1600x1200","1600x1200"
,,"1280x960","1280x960","1280x960","1280x960","1280x960","1280x960","1280x960","1280x960","1280x960"
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"Effects volume",,,,,,,,
"@local/lua/menu.lua",,25%,,,,,,,,
"@local/lua/menu.lua",,"Edit Avatars",,,,,,,,
"@local/lua/menu.lua",,"A Gentle Slope.",,,,,,,,
"@local/lua/menu.lua",,"A Simple Push.",,,,,,,,
"@local/lua/menu.lua",,75%,,,,,,,,
"@local/lua/menu.lua",,"Part 2 : Introducing the art of pushing.",,,,,,,,
"@local/lua/menu.lua",,"Visual",,,,,,,,
"@local/lua/menu.lua",,"The Forgiven Hump.",,,,,,,,
"@local/lua/menu.lua",,"Audio",,,,,,,,
"@local/lua/menu.lua",,"The Time of the Month.",,,,,,,,
"@local/lua/menu.lua",,"Music volume",,,,,,,,
"@local/lua/menu.lua",,"The Square Peg.",,,,,,,,
"@local/lua/menu.lua",,"Debug ON",,,,,,,,
"@local/lua/menu.lua",,"Change Options",,,,,,,,
"@local/lua/menu.lua",,"Test Water",,,,,,,,
"@local/lua/menu.lua",,"Simpler than it looks.",,,,,,,,
"@local/lua/menu.lua",,"A Question of Timing.",,,,,,,,
"@local/lua/menu.lua",,"Startup settings.",,,,,,,,
"@local/lua/menu.lua",,"Part 1 : Introducing the amazing maze.",,,,,,,,
"@local/lua/menu.lua",,50%,,,,,,,,
"@local/lua/menu.lua",,"A Simple Valley.",,,,,,,,
"@local/lua/menu.lua",,"Choose Language",,,,,,,,
"@local/lua/menu.lua",,"Debug",,,,,,,,
"@local/lua/menu.lua",,"The First Threesum.",,,,,,,,
"@local/lua/menu.lua",,"The Prologue.",,,,,,,,
"@local/lua/menu.lua",,"Play Amaze",,,,,,,,
"@local/lua/menu.lua",,"Quit to menu",,,,,,,,
"@local/lua/menu.lua",,"A Spaced Invader.",,,,,,,,
"@local/lua/menu.lua",,100%,,,,,,,,
"@local/lua/menu.lua",,"Select level from basic set.",,,,,,,,
"@local/lua/menu.lua",,"Debug OFF",,,,,,,,
"@local/lua/menu.lua",,"Off",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/wavyedit.lua",,"Get Up",,,,,,,,
"@local/lua/wavyedit.lua",,"Push",,,,,,,,
"@local/lua/wavyedit.lua",,"zoom",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"You may need to restart for this to take full effect.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/amaze/amaze.lua",,"Villian!",,,,,,,,
"@local/structor/structor.lua",,"Edit.",,,,,,,,
"@local/amaze/amaze.lua",,"Rapscallion!",,,,,,,,
"@local/amaze/amaze.lua",,"Wait!",,,,,,,,
"@local/structor/basic/levels.lua",,"Test.",,,,,,,,
"@local/amaze/amaze.lua",,"Abstain!",,,,,,,,
"@local/structor/structor.lua",,"Start.",,,,,,,,
"@local/structor/structor.lua",,"Reset.",,,,,,,,
"@local/amaze/amaze.lua",,"Thief!",,,,,,,,
"@local/amaze/amaze.lua",,"Stop!",,,,,,,,
"@local/amaze/amaze.lua",,"Halt!",,,,,,,,
"@local/amaze/amaze.lua",,"Bounder!",,,,,,,,
"@local/amaze/amaze.lua",,"Desist!",,,,,,,,
"@local/amaze/amaze.lua",,"Stay!",,,,,,,,
"@local/amaze/amaze.lua",,"Vagabond!",,,,,,,,
"@local/amaze/amaze.lua",,"Rotter!",,,,,,,,
"@local/amaze/amaze.lua",,"Cease!",,,,,,,,
"@local/amaze/amaze.lua",,"Cad!",,,,,,,,
"@local/amaze/amaze.lua",,"Pilferer!",,,,,,,,
"@local/structor/structor.lua",,"Main tool box.",,,,,,,,
"@local/amaze/amaze.lua",,"Freeze!",,,,,,,,
"@local/amaze/amaze.lua",,"Gadzooks!",,,,,,,,
"@local/amaze/basic/levels.lua",,"To easy? Well it wasn't much of a puzzle, more of a test for brain activity.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Now I know you are not going to belive this and will probably consider it nothing more than a cheap trick to get you into a position where I can take advantage of you.",,,,,,,,
"@local/amaze/basic/levels.lua",,"But it turns out our princess is in another castle.",,,,,,,,
"@local/amaze/basic/levels.lua",,"You should really try not to cover up anything you want to collect.",,,,,,,,
"@local/amaze/amaze.lua",,"Scallywag!",,,,,,,,
"@local/amaze/amaze.lua",,"Scoundrel!",,,,,,,,
"@local/amaze/basic/levels.lua",,"Behold",,,,,,,,
"@local/amaze/amaze.lua",,"Scamp!",,,,,,,,
"@local/structor/structor.lua",,"Stop.",,,,,,,,
"@local/amaze/amaze.lua",,"Heel! Bitch!",,,,,,,,
"@local/amaze/amaze.lua",,"Resistence is useless!",,,,,,,,
"@local/amaze/amaze.lua",,"Hold!",,,,,,,,
"@local/amaze/amaze.lua",,"Forsooth!",,,,,,,,
"@local/amaze/amaze.lua",,"Varlet!",,,,,,,,
"@local/amaze/amaze.lua",,"Filcher!",,,,,,,,
"@local/amaze/amaze.lua",,"Blighter!",,,,,,,,
"@local/amaze/basic/levels.lua",,"The best tactic is simply to start by trapping the antagonists..",,,,,,,,
"@local/structor/structor.lua",,"Play.",,,,,,,,
"@local/structor/structor.lua",,"Edit tool box.",,,,,,,,
"@local/amaze/amaze.lua",,"Purloiner!",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/structor/structor.lua",,"Click mode...",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/structor/structor.lua",,"None.",,,,,,,,
"@local/structor/structor.lua",,"Move.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/structor/structor.lua",,"Off.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/amaze/basic/levels.lua",,"Again, just don't cover anything up and you will be fine.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Some simple toys, push them down the hill.",,,,,,,,
"@local/amaze/basic/levels.lua",,"TopTip: The avatar editor can be used to customize your player character, simply save a wavy avatar soul with the default name of 'me', for it to be used here.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Congratulations, now for something even simpler.",,,,,,,,
"@local/amaze/basic/levels.lua",,"OK, this one might be slightly hard, not impossible, but not easy.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Congratulations, I bet that took a few trys.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Well done, now let's go play with some toys.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Remember the antagonists are dumb, controlable and predictable.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Press Escape for restart option if you get stuck.",,,,,,,,
"@local/amaze/basic/levels.lua",,"Just keep trying till you out smart them.",,,,,,,,
"@local/amaze/basic/levels.lua",,"See, told you it was simple.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"Scores.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"Scores for level _LEVEL_",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"Time.",,,,,,,,
"@local/lua/menu.lua",,"When.",,,,,,,,
"@local/lua/menu.lua",,"Rank.",,,,,,,,
"@local/lua/menu.lua",,"Name.",,,,,,,,
"@local/lua/menu.lua",,"Scores for level _LEVEL_.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"@local/lua/menu.lua",,"View.",,,,,,,,
"Autodump of new strings",,,,,,,,,,
"Autodump of new strings"
"@local/lua/menu.lua(431)",,"Back."
"@local/lua/menu.lua(439)",,"Next."
"Autodump of new strings"
"@local/amaze/basic/levels.lua(260)",,"Not as hard as it looks."
"Autodump of new strings"
"@local/lua/wavyedit.lua(826)",,"Test"
"Autodump of new strings"
"@local/structor/structor.lua(111)",,"Select Brush."
"Autodump of new strings"
"@local/structor/structor.lua(330)",,"Select brush."
"Autodump of new strings"
"@local/structor/structor.lua(347)",,""
"Autodump of new strings"
"@local/structor/structor.lua(111)",,"Edit Brush."
"Autodump of new strings"
"@local/structor/structor.lua(112)",,"Edit Map."
"Autodump of new strings"
"@local/structor/structor.lua(280)",,"Brush edit tool box."
"@local/structor/structor.lua(265)",,"Map edit tool box."
"Autodump of new strings"
"@local/lua/wavyedit.lua(310)",,"Extra"
"Autodump of new strings"
"@lua/structor/structor.lua(207)",,"Select."
"Autodump of new strings"
"@lua/structor/structor.lua(119)",,"Edit Links."
"@lua/structor/structor.lua(120)",,"Add Brush."
"Autodump of new strings"
"@lua/structor/structor.lua(120)",,"Add Item."
"Autodump of new strings"
"@lua/structor/structor.lua(123)",,"Add Zone."
"@lua/structor/structor.lua(361)",,"Map add tool box."
"Autodump of new strings"
"@lua/structor/structor.lua(123)",,"Add Ball."
"Autodump of new strings"
"@lua/wavy/wavyedit.lua(1213)",,"TestRender"
"Autodump of new strings"
"@lua/wavy/wavyedit.lua(32)",,"Colors"
"@lua/wavy/wavyedit.lua(31)",,"Pose"
"@lua/wavy/wavyedit.lua(30)",,"Parts"
"Autodump of new strings"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(521)",,"Chest"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(530)",,"Flat"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(548)",,"Thin"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(539)",,"Belly"
"Autodump of new strings"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(410)",,"Old"
"Autodump of new strings"
"@c:\xix\pc\bin\lua/wavy/wavyedit.lua(129)",,"Weight"
"Autodump of new strings"
"@C:/wet/pc/bin/lua/wavy/wavyedit.lua(995)",,"Stab"
"@C:/wet/pc/bin/lua/wavy/wavyedit.lua(994)",,"Swing"
"Autodump of new strings"
"@C:/wet/pc/bin/lua/wavy/wavyedit.lua(962)",,"Zee Walk"
